"Authors","Journal","YearPublication","DOI_ISBN"
"Olmsted; Alvarez-Buylla","Ecol Appl","1995","10.2307/1942038"
"Warton; Wardle","Austral Ecol","2003","10.1046/j.1442-9993.2003.01246.x"
"DeWalt","Biol Invasions","2006","10.1007/s10530-005-5277-8"
"Neubert; Parker","Risk Anal","2004","10.1111/j.0272-4332.2004.00481.x"
"Watson; Westoby; Holm","J Ecol","1997","10.2307/2960605"
"Zhang; Wang; Shi","Chin J Plant Ecol","2009",NA
"Raghu; Osunkoya; Perrett; Pichancourt","Basic Appl Ecol","2014","10.1016/j.baae.2014.08.006"
"Pascarella; Alde; Zimmerman","Biotropica","2007","10.1111/j.1744-7429.2006.00220.x"
"McKenna",NA,"2007",NA
"Maschinski; Baggs; Quintana-Ascencio; Menges","Conserv Biol","2006","10.1111/j.1523-1739.2006.00272.x"
"McGraw","Am J Bot","1989","10.2307/2444780"
"Nantel; Gagnon","J Ecol","1999","10.1046/j.1365-2745.1999.00388.x"
"Thaxton",NA,"2003",NA
"Tolvanen; Schroderus; Henry","Evol Ecol","2002","10.1007/978-94-017-1345-0_12"
"Dominguez Lozano; Moreno Saiz; Schwartz","J Nat Conserv","2011","10.1016/j.jnc.2011.05.005"
"Arias-Medellín; Bonfil; Valverde",NA,"2013","DOI 10.17129/botsci.525"
"Jiménez-Valdés; Caballero; Lira; Godínez-Alvarez","Econ Bot","2010","10.1007/s12231-010-9117-0"
"Torres; Casas; Vega; Martinez-Ramos; Delgado-Lemus","Econ Bot","2015","10.1007/s12231-014-9295-2"
"Martinez-Avalos",NA,"2007",NA
"Schmalzel; Reichenbacher; Rutman","Madrono","1995",NA
"Jiménez-Sierra; Mandujano; Eguiarte","Biol Conserv","2007","10.1016/j.biocon.2006.10.038"
"Ferrer; Durán; Méndez; Dorantes; Dzib","Bol Soc Bot Mex","2011",NA
"Rodriguez Ortega",NA,"2008",NA
"Flores Martínez; Manzanero-Medino; Golubov; Montaña; Mandujano","Plant Ecol","2010","10.1007/s11258-010-9737-6"
"Flores Martínez",NA,"2010",NA
"Valverde; Quijas; Lopez-Villavicencio; Castillo","Plant Ecol","2004","10.1023/B:VEGE.0000021662.78634.de"
"Haridas; Keeler; Tenhumberg","Ecology","2015","10.1890/13-1984.1"
"Mandujano; Montaña; Franco; Golubov; Flores-Martínez","Ecology","2001","10.2307/2679864"
"Shryock; Esque; Hughes","Am J Bot","2014","10.3732/ajb.1400035"
"Méndez; Durán; Olmsted","Biotropica","2004","10.1646/1601"
"Clark-Tapia",NA,"2004",NA
"van Mantgem; Stephenson","J Ecol","2005","10.1111/j.1365-2745.2005.01007.x"
"Tanaka; Shibata; Masaki; Iida; Niiyama; Abe; Kominami; Nokashizuka","J Veg Sci","2008","10.3170/2007-8-18342"
"Lin; Augspurger","Forest Ecol Manag","2008","10.1016/j.foreco.2008.02.040"
"Kaneko; Takada; Kawano","Plant Spec Biol","1999","10.1046/j.1442-1984.1999.00007.x"
"Huenneke; Marks","Ecology","1987","10.2307/1939207"
"Yamada; Yamada; Okuda; Fletcher","Oecologia","2013","10.1007/s00442-012-2529-z"
"Lehtilä; Tuomi; Sulkinoja","Ecology","1994","10.2307/1939418"
"Davelos; Jarosz","J Ecol","2004","10.1111/j.0022-0477.2004.00907.x"
"Zuidema; Brienen; During; Guneralp","Am Nat","2009","10.1086/605981"
"Loayza; Knight","Ecology","2010","10.1890/09-0480.1"
"Gaoue; Ticktin","Conserv Biol","2010","10.1111/j.1523-1739.2009.01345.x"
"Crowley; Garnett; Shephard","Austral Ecol","2009","10.1111/j.1442-9993.2008.01921.x"
"Buckley; Brockerhoff; Langer; Ledgard; North; Rees","J Appl Ecol","2005","10.1111/j.1365-2664.2005.01100.x"
"Münzbergová; Hadincová; Wild; Kindlmannová","PLOS ONE","2013","10.1371/journal.pone.0056953"
"Stewart",NA,"2001",NA
"Salguero-Gómez",NA,"2004",NA
"Renne",NA,"2001",NA
"Yamada; Zuidema; Itoh; Yamakura; Ohkubo; Kanzaki; Tan; Ashton","J Ecol","2007","10.1111/j.1365-2745.2006.01209.x"
"Gaoue;  Horvitz; Ticktin; Steiner; Tuljapurkar","J Ecol","2013","10.1111/1365-2745.12140"
"Pichancourt; van Klinken; Raghu","Ecosphere","2019",NA
"Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist","Biol Conserv","2017","10.1016/j.biocon.2017.04.019"
"Riverón-Giró; Raventós; Damon; García-González; Mújica","Biol Invasions","2019","10.1007/s10530-019-01945-7"
"Ackerman; Tremblay; Pérez; Madden; Bechtold; Boeken","Int J Plant Sci","2020","doi.org/10.1086/709399"
"Julian Camilo Farfan Camargo",NA,"2008",NA
"Deep J Chapagain",NA,"2021","10.1002/ece3.7520"
"Demetria; Citlalli Maldonado-Flores; Remedios","Selbyana","2007","http://www.jstor.org/stable/41760304"
"Binu Timsina; Pavel Kindlmann; Zuzana Munzbergova; Maan B. Rokaya","Frontiers in Ecology and Evolution","2021","doi.org/10.3389/fevo.2021.676993"
"Nhora Helena Ospina-Calderón; Raymond L. Tremblay; Alba Marina Torres; Nicola S. Flanagan","Frontiers in Ecology and Evolution","2023","doi.org/10.3389/fevo.2023.1135316"
"Laura Simmons",NA,"2016",NA
"Jose Raventos; Ernesto Mujica; Elaine Gonzalez; Andreu Bonet; M Pilar Ortega-Larrocea","Popul Ecol","2021","10.1002/1438-390X.12098"
"Aucencia Emeterio Lara",NA,"2019",NA
